Location,Plant,Zone,Aisle,Bin,Batch Number,Part Number,Part Description,Serial Number,Condition,Category,Owner,Criticality,Average Cost,Quantity,Unit of Measure (UoM)
YYC,Plant 2,B,4,A3,73691343,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 2,B,2,A3,74070983,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 2,B,2,B2,74140957,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 1,A,1,B2,74392499,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,4,B2,74633328,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,3,A4,74951127,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,4,B1,75096037,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,1,B3,75290107,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,4,A2,75449791,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 3,C,1,B2,75477911,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 1,A,2,B1,75667686,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 1,A,3,B1,75717722,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 3,C,3,B2,75723178,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 3,C,1,B1,75872114,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,1,A6,76071398,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 3,C,3,B1,76113162,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,1,A4,77008736,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,1,A5,77032630,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,3,B2,77133734,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,1,A1,77291700,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,3,B1,77639706,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,1,A1,78053517,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,2,B3,78547939,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,3,A6,78624562,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,2,A4,79035941,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,4,A4,79180106,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 2,B,2,B1,79309635,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,1,A3,79753799,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,2,B3,80255047,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 2,B,3,B2,80280416,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,4,B3,80661516,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 2,B,2,A3,80692659,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,2,A2,81297987,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 3,C,2,A1,81917541,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,4,A1,82049636,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 1,A,3,B3,82857485,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 2,B,4,B3,83581119,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,4,B3,83824258,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,3,B2,84130282,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,4,B2,84785160,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,3,B3,85541409,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 2,B,1,A2,85868411,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,1,A6,86375511,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,1,A4,86530152,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 2,B,2,B1,86758443,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 2,B,4,B2,86876804,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,2,A4,87534323,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 3,C,2,A6,87619700,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 1,A,1,B3,88221588,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,4,A5,88286494,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 1,A,3,A2,88295479,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,4,B3,88427720,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,4,B3,88565024,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,1,B2,88728489,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 2,B,1,B1,88775078,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 3,C,2,A1,89466307,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,2,B1,89589687,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,2,B3,89797862,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
